,Analysis sample,Available filings,Removed relative to prior relevant sample
1,Clean filing-text sample,1682,0
2,Filings with point-in-time share counts,1619,63
3,Table 5 volatility regression sample,1586,33
4,Table 6 filing-return regression sample,1586,33
