Sample,Uncertainty measure,Observations,Coefficient without pre-vol,t-stat without pre-vol,Coefficient with pre-vol,t-stat with pre-vol,Coefficient change (%),Post-volatility effect of 1-SD uncertainty,Adjusted R2 without pre-vol,Adjusted R2 with pre-vol
All filings,Proportional,1586,5.926053872810884,3.3035134795157615,5.504090021127481,3.7442485246501156,-7.120486258476321,3.2858904859562843,0.4781640782819606,0.5287235420307848
All filings,TF-IDF,1586,1.1768896912138325,2.9156774436271937,1.091303562185691,3.175789398978776,-7.272230326010312,3.724580148576806,0.4762408725687476,0.5270294283505172
10-K,Proportional,386,18.866469505639433,4.095054560679165,18.881120249136597,3.416827702448668,0.07765492898808964,4.9110572244301505,0.53176592056106,0.607387241251562
10-K,TF-IDF,386,1.559271561715659,3.665085623364233,1.540536782232615,3.675555076770974,-1.201508444265483,4.732677647810823,0.5279026201602306,0.6027839999274573
10-Q,Proportional,1200,5.649826896706627,3.120025560439467,5.143023268159734,3.7761680678379035,-8.970250554796946,3.416527440341398,0.4771481447300643,0.5206910675833527
10-Q,TF-IDF,1200,1.0760390855506525,2.3578782704684516,0.9694680306780499,2.5951660144178383,-9.904013367513128,2.6311030872523107,0.4704165991230771,0.5149602826344912
