Sample,Sentiment measure,Observations,Coefficient,Clustered t-stat,Clustered p-value,Return effect of 1-SD tone,Approx. 80% MDE for 1-SD tone,Adjusted R-squared
All filings,Proportional,1586,-0.577069363250936,-1.7681590797753857,0.09308872855342647,-0.5697541085597922,0.945631096838492,0.009779325077550749
All filings,TF-IDF,1586,-0.02983059509620488,-1.6917527210093004,0.10702961521486914,-0.7480787991416906,1.2976754200992624,0.010570230831951966
10-K,Proportional,386,-1.0748862161359027,-1.172507636743447,0.25548510941061964,-0.4743587868000424,1.1872628670987753,0.01589576248652258
10-K,TF-IDF,386,-0.045112160026503936,-0.9998599318481551,0.32994284504078997,-0.8774260701088712,2.5752949990078475,0.018840551821356022
10-Q,Proportional,1200,-0.5977104446519306,-1.8009396939873574,0.08760722175714471,-0.6518161248756189,1.0621394630162688,0.011453724767520934
10-Q,TF-IDF,1200,-0.0254270988790284,-1.3261399312146673,0.20051553668779723,-0.5811961630273129,1.2861422396493527,0.010945322305161098
